question_id,qa_group,year,question,no_rag_status,rag_status,no_rag_checkpoint_ratio,rag_checkpoint_ratio,checkpoint_delta,no_rag_source_ratio,rag_source_ratio,source_delta,status_delta,no_rag_missing_terms,rag_missing_terms
qa_012,department_web,공통,수학을 못하면 인공지능학과 전공 수업을 따라가기 어렵나요?,fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,고등수학 필수 아님; AI를 위한 기초수학 및 통계,
qa_013,department_web,공통,문과 출신 교차지원생이나 비전공자도 코딩 수업에 적응할 수 있을까요?,review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,교차지원 공식 답변 없음; AI 프로그래밍기초,
qa_014,department_web,공통,학과에서 인공지능 능력을 기르기 위해 주로 사용하는 프로그래밍 언어는 무엇인가요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,파이썬; AI프로그래밍기초; 데이터사이언스를위한파이썬; JAVA프로그래밍; C언어 근거 없음,
qa_015,department_web,공통,학년별 전공 교육과정은 대략 어떤 흐름으로 진행되나요?,pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_016,department_web,공통,인공지능학과 졸업 후 취득할 수 있는 국가 자격증이나 전공 관련 인증은 무엇이 있나요?,review,pass,0.6,1.0,0.4,0.0,1.0,1.0,1,ADsP; 로봇소프트웨어개발기사,
qa_017,department_web,공통,졸업생들은 구체적으로 어떤 직무나 기업 분야로 취업하나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,AI 모델 개발자; BigData scientist; Cloud 운용 전문가; 기업체; 연구기관,
qa_018,department_web,공통,전공 수업 외에 공모전이나 학술대회에 참여할 기회가 주어지나요?,review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,AI 알고리즘 연구회; 학회 논문,
qa_019,department_web,공통,인공지능 모델을 학습시키려면 고성능 컴퓨터가 필요한데 학과 실습 환경은 어떤가요?,fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,전용 GPU 서버실; 1인 1실습 PC,
qa_020,department_web,공통,수시 전형에서 면접을 보게 된다면 뛰어난 코딩 실력을 증명해야 하나요?,review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,학생부교과; 입학정보,
qa_021,department_web,공통,이 학과만이 가진 차별화된 특성화 방향과 장점은 무엇인가요?,fail,pass,0.25,1.0,0.75,0.0,1.0,1.0,2,대전 메디컬캠퍼스; 50여 개 기업; 네이버클라우드아카데미,
qa_022,department_web,공통,대학 입학 전에 미리 코딩이나 전공 공부를 하고 와야 할까요?,review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,AI프로그래밍기초; AI프로그래밍실습,
qa_023,department_web,공통,데이터 분석과 정제를 배울 때 구체적으로 어떤 도구들이나 라이브러리를 사용하나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,구체 라이브러리명 없음; 데이터사이언스를위한파이썬; 데이터베이스프로그래밍; 클라우드컴퓨팅,
qa_024,department_web,공통,고학년 과정에 있는 '인공지능 캡스톤디자인' 수업은 구체적으로 어떻게 진행되나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,AI캡스톤디자인 I; AI캡스톤디자인 II; 4학년; 졸업작품; 설계교과,
qa_025,department_web,공통,학과 교육과정에서 딥러닝을 구현할 때 어떤 프레임워크를 주로 다루나요?,fail,pass,0.2,1.0,0.8,0.0,1.0,1.0,2,TensorFlow 근거 없음; PyTorch 근거 없음; 고급딥러닝; 강의계획서 필요,
qa_026,department_web,공통,내신 성적이나 모의고사 등급이 다소 부족한데 지원 시 합격 가능성이 있을까요?,review,pass,0.75,1.0,0.25,0.0,1.0,1.0,1,성적 반영 방법,
qa_027,department_web,공통,학과 내 선후배나 동기들과 전공 공부를 함께 할 수 있는 모임이나 동아리가 있나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,AI 알고리즘 연구회; 데이터 분석 스터디; 공모전 준비반; 학생활동,
qa_028,department_web,공통,대용량 데이터를 다루기 위한 빅데이터 관련 과목도 개설되어 있나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,데이터사이언스를위한파이썬; 데이터베이스프로그래밍; 클라우드컴퓨팅; BigData scientist,
qa_029,department_web,공통,인공지능 개발자나 데이터 과학자가 되기 위해 가장 핵심적인 역량은 무엇인가요?,review,pass,0.6,1.0,0.4,0.0,1.0,1.0,1,의사소통역량; 실무개발역량,
qa_030,department_web,공통,대학 생활이나 어려운 전공 수업 적응을 돕는 학과 자체 프로그램이 있나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,멘토링 세부자료 없음; KY Vision; SW기초; 일대일 맞춤형 진로 상담,
qa_031,department_web,공통,인공지능 기술 중에서도 구체적으로 어떤 세부 인공지능 분야들을 경험할 수 있나요?,review,pass,0.6,1.0,0.4,0.0,1.0,1.0,1,딥러닝영상처리; 생성형AI,
qa_032,department_web,공통,기계학습(머신러닝) 교과목에서는 어떤 상세 알고리즘들을 직접 구현해보나요?,review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,1학년 2학기; 강의계획서 필요,
qa_033,department_web,공통,성적 장학금 외에 인공지능학과 학생이 노려볼 수 있는 별도의 장학금 제도가 있나요?,review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,SW 특별 장학금; 프로젝트 참여 수당,
qa_034,department_web,공통,학부 재학 기간 중 실제 기업 현장을 경험할 수 있는 인턴십 기회가 주어지나요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,의료인공지능현장실습; 해외의료인공지능현장실습; 국내외 IT 기업 인턴십; 글로벌 챌린저,
qa_035,department_web,공통,인공지능 기술의 윤리적 편향성이나 법적 분쟁에 대해서도 정규 교육과정에서 가르치나요?,fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,별도 교과목명 없음; 법적 분쟁 세부자료 없음,
qa_036,department_web,공통,학과 입학 시 반드시 고가의 고사양 개인 노트북을 새로 구매해야 할까요?,fail,pass,0.25,1.0,0.75,0.0,1.0,1.0,2,고가 노트북 필수 아님; 전용 GPU 서버실; 1인 1실습 PC,
qa_037,department_web,공통,코딩 실습 도중 오류가 발생했을 때 해결을 도와주는 지원 체계가 있나요?,fail,pass,0.25,1.0,0.75,0.0,1.0,1.0,2,디버깅 지원 자료 없음; AI 알고리즘 연구회; 데이터 분석 스터디,
qa_038,department_web,공통,"인공지능학과 전공 수업은 주로 이론 중심인가요, 아니면 실습 중심인가요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,이론과 실습 병행; AI프로젝트; AI캡스톤디자인; 현장 중심 실무역량,
qa_039,curriculum,2021,"2021년 기준, 단일전공으로 졸업하려는데 필수 전공 학점만 채우면 졸업작품은 자동으로 통과되나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,보고서 제출; 발표 심사,
qa_040,curriculum,2021,"2021년 기준, 캡스톤디자인이나 프로젝트 수업 같은 '설계 교과'는 단일전공자라면 무조건 들어야 하나요? 필수 이수 학점이 따로 있나요?",pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_041,curriculum,2021,"2021년 기준, 부전공이나 복수전공(융합/연계전공)을 하는 학생도 설계교과 20학점 필수 이수 규칙이 동일하게 적용되나요?",pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_042,curriculum,2021,"2021년 기준, 졸업논문이나 졸업작품 심사를 받지 않고 면제받을 수 있는 기준이 학과 내규에 따로 있나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,공모전 입상; 학회 논문 발표,
qa_043,curriculum,2021,"2021년 기준, 복수전공(융합전공/연계전공)으로 이 학과를 이수할 때와 부전공으로 이수할 때 필요한 전공 학점의 차이가 어떻게 되나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,융합전공 최소학점; 부전공 이수학점,
qa_044,curriculum,2021,"2021년 기준, 졸업을 하기 위해 4년 동안 채워야 하는 총 최소 이수 학점은 얼마인가요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,졸업최소 이수학점; 총 취득학점,
qa_045,curriculum,2021,"2021년 기준, 프로그래밍 수업이 학년별로 많던데, 기초를 안 배우고 바로 '메디컬 앱 프로그래밍 실무' 같은 과목을 수강할 수 있나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,선후수 규칙; 응용프로그래밍,
qa_046,curriculum,2021,"2021년 기준, 전공 과목 중에서 이론 강의 없이 오직 실습 시수로만 100% 채워져서 운영되는 기초 코딩 과목이 있나요?",review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,AI 프로그래밍실습,
qa_047,curriculum,2021,"2021년 기준, 고학년 과정인 'AI 캡스톤디자인'이나 'AI 프로젝트' 같은 과목들을 듣고 싶은데, 아무 때나 신청해서 들을 수 있나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,설계 이수체계,
qa_048,curriculum,2021,"2021년 기준, 3학년 학기 중에 인공지능 핵심 분야인 이미지, 소리, 텍스트 데이터를 모두 다루게 되나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,딥러닝 영상처리; 음성인식; 자연어처리,
qa_049,curriculum,2021,"2021년 기준, 4학년 교육과정에서 컴퓨터가 스스로 최적의 행동 양식을 학습하게 만드는 핵심 AI 알고리즘을 다루는 전공 과목의 명칭은 무엇인가요?",pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_050,curriculum,2021,"2021년 기준, 인공지능 기술 외에 실제 의료 현장의 시스템 데이터 구조를 깊이 있게 다루는 메디컬 분석 과목들은 구체적으로 어떤 것들이 개설되나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,EMR데이터분석; Clinical Data Warehouse분석; 의료영상데이터분석,
qa_051,curriculum,2021,"2021년 기준, 컴퓨터공학과가 아닌 '의료인공지능학과'에서 개론 수업을 들으면 일반적인 AI 빅테크 외에 어떤 구체적인 의료 혁신 사례들을 배우게 되나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,IBM Watson; 의료영상 암세포 검출,
qa_052,curriculum,2021,"2021년 기준, 수학적 베이스가 많이 부족한 편인데, 'AI를 위한 기초수학 및 통계' 과목에서는 정확히 어떤 수학적 개념들을 다루며 프로그램 툴은 무엇을 쓰나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,주피터 노트북,
qa_053,curriculum,2021,"2021년 기준, AI를 위한 알고리즘' 과목의 개요를 보면 난이도가 어떻게 전개되나요? 코딩 초보자도 따라갈 수 있도록 맞춤형 학습이 가능한가요?",review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,로지스틱 회귀; GANs,
qa_054,curriculum,2021,"2021년 기준, 의료 Chatbot(HCI)' 과목은 교육과정 상 몇 학년 코스에 배치되어 있으며 주로 어떤 소통 기술을 연구하게 되나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,4학년 2학기; 인간-컴퓨터 상호작용,
qa_055,curriculum,2021,"2021년 기준, 3학년에 개설된 '바이오유전체정보학' 과목의 개요를 보면 최근 데이터 생산량이 급증하고 있다고 하는데, 주된 교육 내용이 무엇인가요?",pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_056,curriculum,2021,"2021년 기준, 공학 전공자인데 '의학 및 병원용어'라는 보건 의료 과목을 굳이 왜 들어야 하나요? 이 과목의 최종 학습 목표가 무엇인가요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,해독능력; 임상의약,
qa_057,curriculum,2021,"2021년 기준, 방학 때 학과 연계 '의료인공지능 현장실습'을 나가려고 합니다. 단기에 끝나는 과정과 한 학기 내내 나가는 장기 과정의 학점 차이가 어떻게 되나요?",pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_058,curriculum,2021,"2021년 기준, 국내 병원이나 기업 말고 글로벌 의료 AI 기획을 경험해보고 싶은데, 해외 현장실습 프로그램도 학점으로 공식 인정되나요?",review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,해외의료인공지능현장실습,
qa_059,curriculum,2021,"2021년 기준, 졸업을 하려면 교양필수 학점은 최소 몇 학점을 채워야 하며, 1학년 때 꼭 들어야 하는 글쓰기 과목의 명칭은 무엇인가요?",review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,비판적 사고와 글쓰기,
qa_060,curriculum,2021,"2021년 기준, 교양필수 과목 중 '영어 I / II' 외에 중국어나 일본어를 선택해서 들을 수도 있나요? 특정 자격증이 있으면 수강을 면제받는 제도도 있나요?",review,pass,0.5,1.0,0.5,0.0,1.0,1.0,1,공인성적 대체교과 수강,
qa_061,curriculum,2021,"2021년 기준, 교양 이수 기준표에 나와 있는 '중점교양'은 몇 학점을 채워야 하며, 학과 특성상 특정 필수 지정 영역이 존재하나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,4차 산업혁명 영역; 인문소양,
qa_062,curriculum,2021,"2021년 기준, 신입생 입학 직후나 1학년 학기 중에 학교 및 학과 적응, 기업가 정신을 기르기 위해 필수로 패스해야 하는 교양 지정 과목들은 어떤 것들이 있나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,동기유발; 파트너십트레이닝; 기업가정신과리더십,
qa_063,curriculum,2021,"2021년 기준, 과거 초기 교과과정과 비교했을 때, 현재 개정안 교육과정 일람표에서 가장 핵심적으로 변화되거나 체계화된 설계 교육의 패러다임은 무엇인가요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,단계별 체계화,
qa_064,curriculum,2021,"2021년 기준, 초기 학과 신설 시점의 보건의료 교과와 비교하여, 최근 일부 개정안을 거치며 인공지능 실무 교육 트랙은 실제 병원 데이터와 어떻게 더 긴밀하게 연계되도록 고도화되었나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,일부 개정안; 병원인공지능실무; 공동 연구 연계,
qa_065,curriculum,2021,"2021년 기준, 과거 교과과정의 이수체계도 흐름과 비교해 볼 때, 최근 개정된 교육과정 연계도에서 '의산학' 트랙의 비중은 어떻게 달라졌나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,AI 프로젝트 연속 개설,
qa_066,curriculum,2021,"2021년 기준, 의료인공지능학과 학생회에서 주최하는 정기 학술제나 인공지능 개발 동아리의 종류, 그리고 학생회비 납부 금액과 이용 내역은 어떻게 되나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,자료에 없음,
qa_067,curriculum,2021,"2021년 기준, 1학년 전공 필수인 'AI 프로그래밍기초' 수업의 중간고사와 기말고사 시험 방식이 '오픈북'인지 궁금하고, 분반별 담당 교수님의 성함은 어떻게 되나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,자료에 없음,
qa_068,curriculum,2021,"2021년 기준, 졸업 후 대학원 장학금 지원 혜택이나 건양대학교 병원 취업 시 가산점 부여 제도, 그리고 연계된 인공지능 기업들의 인턴십 급여 수준은 어떻게 되나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,자료에 없음,
qa_069,curriculum,2022,"2022년 기준, 단일전공으로 졸업하려면 총 몇 학점을 채워야 하고, 그중 전공 학점은 최소 몇 학점 이상이어야 하나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,졸업이수학점; 최소전공학점,
qa_070,curriculum,2022,"2022년 기준, 복수전공을 신청하게 되면 의료인공지능학과 전공 학점 이수 기준이 어떻게 바뀌나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,전공이수기준; 설계학점,
qa_071,curriculum,2022,"2022년 기준, 부전공으로 의료인공지능학과를 선택한 타 과 학생은 몇 학점을 들어야 하나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,부전공; 부전공학점; 타과생,
qa_072,curriculum,2022,"2022년 기준, 4학년 때 치러지는 졸업작품 심사를 면제받을 수 있는 공식적인 기준이 있나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,졸업작품면제; 공모전입상; 학회논문,
qa_073,curriculum,2022,"2022년 기준, 다부전공을 하지 않고 단일전공만 하는 학생인데, '설계 20학점'을 채우려면 학과에 개설된 설계 과목을 다 들어야 하나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,전공설계학점; 필수설계; 단일전공이수,
qa_074,curriculum,2022,"2022년 기준, 연계전공을 이수하는 학생의 경우 의료인공지능학과 전공 학점은 얼마나 이수해야 합니까?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,연계전공학점; 설계학점수,
qa_075,curriculum,2022,"2022년 기준, 1학년 때 배우는 '창의도전설계'와 4학년 때 배우는 'AI캡스톤디자인'의 설계 단계 분류는 어떻게 다른가요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,기초설계; 종합설계; 단계별설계,
qa_076,curriculum,2022,"2022년 기준, 학과 커리큘럼 중 2학년과 3학년에 배치된 'AI융합설계'와 'AI 프로젝트'는 설계 학점 상 어떤 단계에 속하나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,요소설계,
qa_077,curriculum,2022,"2022년 기준, 데이터 분석이나 통계 역량을 기르고 싶은데, 2학년 과정 중 관련된 전공 과목은 무엇이 있나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,확률및통계; 의료빅데이터; 데이터역량,
qa_078,curriculum,2022,"2022년 기준, 프로그래밍 언어 자체를 깊게 다루는 전공 과목은 몇 학년에 주로 배치되어 있나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,프로그래밍기초; 파이썬; C언어,
qa_079,curriculum,2022,"2022년 기준, 의료인공지능학과인 만큼 의학 기초 지식도 배우나요? 배운다면 학년과 과목명이 어떻게 되나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,의학용어; 해부생리학; 의료도메인,
qa_080,curriculum,2022,"2022년 기준, 인공지능의 핵심인 '딥러닝'과 '머신러닝'은 각각 몇 학년 때 배우도록 계통도가 짜여 있나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,이수계통,
qa_081,curriculum,2022,"2022년 기준, AI를 위한 알고리즘' 수업에서는 정확히 무엇을 배우며, 어떤 전공 역량을 키울 수 있나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,인공지능모델; 창의역량,
qa_082,curriculum,2022,"2022년 기준, 3학년에 있는 '메디컬 앱 프로그래밍 기초' 개요를 보면 JSP만 배우나요? 최근 트렌드와 맞는지 궁금합니다.",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,서블릿; 실무개발역량,
qa_083,curriculum,2022,"2022년 기준, AI융합설계 I' 과목의 주요 목표와 이 과목이 지향하는 인재상은 무엇인가요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,창조적융합형인재; 비즈니스가치,
qa_084,curriculum,2022,"2022년 기준, 의료영상처리'와 '메디컬 컴퓨터비전' 개요의 차이점은 무엇인가요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,시각인지,
qa_085,curriculum,2022,"2022년 기준, 헬스케어 데이터분석' 과목에서는 어떤 도구나 역량을 중점적으로 다루나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,데이터마이닝; 문제해결역량,
qa_086,curriculum,2022,"2022년 기준, 4학년에 개설되는 '병원인공지능 실무-1'의 수업 방식이나 대략적인 개요는 어떻게 되나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,의료정보시스템; 실무프로세스,
qa_087,curriculum,2022,"2022년 기준, 학과 커리큘럼에 '현장실습' 과목도 포함되어 있나요? 있다면 언제 나갈 수 있나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,인턴십; 메디컬AI현장실습,
qa_088,curriculum,2022,"2022년 기준, 졸업을 위해 이수해야 하는 교양 최소 학점과 그중 교양필수는 몇 학점인가요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,교양총학점; 졸업교양학점,
qa_089,curriculum,2022,"2022년 기준, 배정된 '중점교양'은 몇 학점을 이수해야 하며, 주로 어떤 영역을 뜻하나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,최소이수학점; 균형발전,
qa_090,curriculum,2022,"2022년 기준, 교양필수나 중점교양 학점이 부족하면 전공 학점을 100학점 이상 채우더라도 졸업이 불가능한가요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,교양요건미달; 졸업불가; 학점구조,
qa_091,curriculum,2022,"2022년 기준, 현장실습으로 취득한 학점은 전공 학점으로 인정되나요, 아니면 일반선택 학점으로 인정되나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,전공선택; 사전승인,
qa_092,curriculum,2022,"2022년 기준, 1학년 때 교양필수 과목을 낙제(F학점)했습니다. 재이수 필수인가요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,교양필수재이수; F학점; 필수학점수득,
qa_093,curriculum,2022,"과거 교육과정과 비교했을 때, 2022년도 개정 교육과정에서 가장 두드러지게 강화된 메디컬 AI 학과의 특징은 무엇인가요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,교육과정개정; 설계과목강화; 연속성이수,
qa_094,curriculum,2022,"2021년도 이전에 입학한 학생이 휴학 후 복학하여 2022년 개정 교육과정을 적용받을 때, 기존에 들었던 과목과 매칭은 어떻게 확인하나요?",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,신구대비표; 복학생; 교육과정변경,
qa_095,curriculum,2022,"2022년 기준, 연도별로 학과의 졸업 이수 기준 총 학점이 낮아지거나 변동되는 경우가 있나요?",fail,pass,0.3333,1.0,0.6667000000000001,0.0,1.0,1.0,2,졸업학점변동; 학칙변경,
qa_096,curriculum,2022,"2022년 기준, 4학년 2학기 졸업 직전에 조기취업을 하게 되었습니다. 출석 일수가 모자라는데 전공 과목 학점을 인정받을 수 있는 학과 내 지침이나 구제 방법이 있나요?",fail,pass,0.25,1.0,0.75,0.0,1.0,1.0,2,자료에 없음; 출석인정; 학칙세칙,
qa_097,curriculum,2022,"2022년 기준, 타 대학 학점교류(교환학생 등)를 통해 이수한 인공지능 관련 과목을 우리 학과 전공설계 학점(20학점 필수) 중 일부로 대체 인정받을 수 있나요?",fail,pass,0.25,1.0,0.75,0.0,1.0,1.0,2,자료에 없음; 전공대체인정; 설계학점대체,
qa_098,curriculum,2022,"2022년 기준, 졸업작품 심사 결과 '불합격' 판정을 받으면 바로 다음 달에 졸업이 불가능한가요? 구제 기회나 추가 수강 요건이 있는지 궁금합니다.",fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,자료에 없음; 졸업작품불합격; 재심사; 수료상태,
qa_099,curriculum,2023,2023년 의료인공지능학과 단일전공자의 졸업 최소 이수학점은 몇 학점인가요?,review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,130학점,
qa_100,curriculum,2023,"2023년 단일전공자가 이수해야 하는 1전공의 기준학점은 몇 학점이며, 그중 설계교과는 몇 학점이 포함되어 있나요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,90학점,
qa_101,curriculum,2023,"2023년 복수전공, 연계전공, 융합전공을 이수할 때 제1전공의 최소 이수 기준학점은 몇 학점인가요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,45학점,
qa_102,curriculum,2023,"2023년 의복수전공, 연계전공, 융합전공을 이수할 때 제2전공의 최소 이수 기준학점은 몇 학점인가요?",review,pass,0.6667,1.0,0.33330000000000004,0.0,1.0,1.0,1,30학점,
qa_103,curriculum,2023,"2023년 부전공을 이수하는 학생의 경우, 제1전공과 제2전공으로 각각 최소 몇 학점 이상 이수해야 하나요",pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_104,curriculum,2023,"2023년 단일전공, 복수전공, 부전공 등 모든 이수 유형에서 공통으로 요구되는 교양 필수와 교양 중점 학점은 각각 얼마인가요?",pass,pass,1.0,1.0,0.0,0.0,1.0,1.0,0,,
qa_105,curriculum,2023,2023년 모든 전공 이수 유형에서 졸업을 위해 채워야 하는 교양 총학점은 몇 학점인가요?,fail,pass,0.0,1.0,1.0,0.0,1.0,1.0,2,교양 총학점; 졸업 요건; 30학점,
