question_id,question,expected_answer,year,expected_source,check_points,qa_group
qa_013,문과 출신 교차지원생이나 비전공자도 코딩 수업에 적응할 수 있을까요?,"제공 자료에는 문과 출신 교차지원생에 대한 별도 공식 답변은 없습니다. 다만 AI 프로그래밍기초는 파이썬 입문자가 꼭 필요한 내용을 학습하도록 구성된 과목이고, AI 프로그래밍실습과 데이터사이언스를위한파이썬도 저학년 과정에 배치되어 있어 기초부터 학습하는 구조입니다.",공통,2025_cr.pdf;2024_cr.pdf,교차지원 공식 답변 없음;AI 프로그래밍기초;파이썬 입문;저학년 기초 과정,department_web
qa_014,학과에서 인공지능 능력을 기르기 위해 주로 사용하는 프로그래밍 언어는 무엇인가요?,"교육과정에서 가장 중심적으로 확인되는 언어는 파이썬입니다. 2025 교육과정에는 AI프로그래밍기초, AI프로그래밍실습, 데이터사이언스를위한파이썬이 있고, 2학년에는 JAVA프로그래밍도 배치되어 있습니다. 제공 자료 기준으로 C언어를 주 언어로 배운다는 근거는 확인되지 않습니다.",공통,2025_cr.pdf,파이썬;AI프로그래밍기초;데이터사이언스를위한파이썬;JAVA프로그래밍;C언어 근거 없음,department_web
qa_015,학년별 전공 교육과정은 대략 어떤 흐름으로 진행되나요?,"2025 교육과정 기준으로 1학년은 인공지능 이해, AI 프로그래밍, 데이터사이언스 파이썬, 기초수학 및 통계, 기계학습을 배웁니다. 2학년은 데이터베이스, JAVA, AI융합설계, 딥러닝, 클라우드컴퓨팅, 알고리즘, 고급딥러닝을 다룹니다. 3학년은 의료AI 융합트랙, 딥러닝영상처리, 앱프로그래밍, 자연어처리, AI프로젝트를 진행하고, 4학년은 의료영상신호데이터분석, 강화학습, 의료인공지능실무, 생성형AI, AI캡스톤디자인으로 이어집니다.",공통,2025_cr.pdf,1학년 기초;2학년 딥러닝·알고리즘;3학년 AI프로젝트;4학년 캡스톤디자인,department_web
qa_016,인공지능학과 졸업 후 취득할 수 있는 국가 자격증이나 전공 관련 인증은 무엇이 있나요?,"진로및자격증 자료에는 정보처리기사, 정보처리산업기사, 의공기사, 로봇소프트웨어개발기사, 로봇기구개발기사, 로봇하드웨어개발기사, ICDL COMPUTING(PYTHON), ADsP, AWS 공인 솔루션스 아키텍, AWS 공인 개발자, AWS 공인 시스템 운영 관리자 등이 제시되어 있습니다. SW중심대학 소개자료에는 ADP, SQLP, 리눅스마스터, 정보처리기사도 관련 자격증으로 언급됩니다.",공통,week11_crawling_final.csv;ai_department_week11_crawling_with_ocr (1).csv,정보처리기사;ADsP;AWS 자격증;로봇소프트웨어개발기사;SQLP,department_web
qa_017,졸업생들은 구체적으로 어떤 직무나 기업 분야로 취업하나요?,"진로및자격증 자료 기준 졸업 후 진로는 인공지능 아키텍처 설계자, 인공지능 모델 개발자, 인공지능 소프트웨어 개발자, BigData scientist, Cloud 운용 전문가, 해외 SW 개발 회사 등입니다. 진출 분야는 SW, 게임, 반도체, 의료, 자동차 등 산업 전 분야의 기업체, 연구기관, 공기업, 정부부처, 교육계, 대학원·해외유학 등으로 제시되어 있습니다.",공통,week11_crawling_final.csv,AI 모델 개발자;BigData scientist;Cloud 운용 전문가;기업체;연구기관,department_web
qa_018,전공 수업 외에 공모전이나 학술대회에 참여할 기회가 주어지나요?,"직접적인 공모전 운영 절차까지는 자세히 나오지 않지만, SW중심대학 소개자료에는 AI 알고리즘 연구회, 데이터 분석 스터디, 공모전 준비반 운영이 제시되어 있습니다. 또한 교육과정 내규에는 전국규모 공모전 입상이나 전국규모 학회 논문 발표·게재가 졸업작품 심사 통과 인정 기준이 될 수 있다고 되어 있습니다.",공통,ai_department_week11_crawling_with_ocr (1).csv;2025_cr.pdf,공모전 준비반;AI 알고리즘 연구회;전국규모 공모전;학회 논문,department_web
qa_019,인공지능 모델을 학습시키려면 고성능 컴퓨터가 필요한데 학과 실습 환경은 어떤가요?,SW중심대학 사업 안내 자료에는 인공지능학과의 실습환경으로 전용 GPU 서버실 운영과 1인 1실습 PC 환경 보장이 제시되어 있습니다. 따라서 개인 장비만으로 모든 모델 학습을 감당해야 한다고 보기는 어렵습니다.,공통,ai_department_week11_crawling_with_ocr (1).csv,전용 GPU 서버실;1인 1실습 PC;실습환경,department_web
qa_020,수시 전형에서 면접을 보게 된다면 뛰어난 코딩 실력을 증명해야 하나요?,"제공된 자료에는 수시 면접에서 뛰어난 코딩 실력을 증명해야 한다는 조건은 확인되지 않습니다. 입학정보 자료에는 학생부교과 성적 반영 방법과 서류 제출, 전형 일정 등이 중심으로 제시되어 있으며, 코딩 실력 증명 요구는 별도로 명시되어 있지 않습니다.",공통,week11_crawling_final.csv;ai_department_week11_crawling_with_ocr (1).csv,코딩 실력 요구 없음;학생부교과;전형 일정;입학정보,department_web
qa_021,이 학과만이 가진 차별화된 특성화 방향과 장점은 무엇인가요?,"학과의 장점은 인공지능 기술을 산업 전 분야에 적용하는 교육과 함께 대전 메디컬캠퍼스와 건양대학교병원 인프라를 활용한 의료AI 특성화 교육을 유지한다는 점입니다. 2024 입학 Q&A에는 50여 개 기업 요구사항을 반영한 AI·SW 교육과정, 네이버클라우드아카데미, 실제 의료데이터 활용 교육이 언급됩니다.",공통,ai_department_week11_crawling_with_ocr (1).csv;week11_crawling_final.csv,의료AI 특성화;대전 메디컬캠퍼스;50여 개 기업;네이버클라우드아카데미,department_web
qa_022,대학 입학 전에 미리 코딩이나 전공 공부를 하고 와야 할까요?,"입학 전 반드시 전문적인 코딩이나 전공 공부를 끝내야 한다는 조건은 제공 자료에 없습니다. 교육과정에는 AI프로그래밍기초, AI프로그래밍실습, 데이터사이언스를위한파이썬처럼 저학년 기초 과목이 배치되어 있어 입학 후 기초부터 배울 수 있는 구조입니다.",공통,2025_cr.pdf;2024_cr.pdf,사전 학습 필수 아님;AI프로그래밍기초;AI프로그래밍실습;저학년 기초,department_web
qa_023,데이터 분석과 정제를 배울 때 구체적으로 어떤 도구들이나 라이브러리를 사용하나요?,"제공된 교육과정 자료에는 Pandas, NumPy, RStudio 같은 구체 라이브러리·도구명이 명시되어 있지 않습니다. 확인 가능한 범위에서는 데이터사이언스를위한파이썬, 데이터베이스프로그래밍, 클라우드컴퓨팅, 데이터 분석 관련 SW기초 과목을 통해 데이터 수집·분석·관리 역량을 다루는 것으로 정리할 수 있습니다.",공통,2025_cr.pdf;2024_cr.pdf,구체 라이브러리명 없음;데이터사이언스를위한파이썬;데이터베이스프로그래밍;클라우드컴퓨팅,department_web
qa_024,고학년 과정에 있는 '인공지능 캡스톤디자인' 수업은 구체적으로 어떻게 진행되나요?,"2025 교육과정에서 AI캡스톤디자인 I은 4학년 1학기, AI캡스톤디자인 II는 4학년 2학기에 배치된 3학점 설계 교과목입니다. 학과 내규상 학위 수여를 위해서는 졸업작품 및 보고서를 제출하고 발표와 심사를 통과해야 하므로, 캡스톤디자인은 고학년 종합설계와 졸업작품 준비의 핵심 과목으로 볼 수 있습니다.",공통,2025_cr.pdf;2021_cr.pdf;2022_cr.pdf;2023_cr.pdf;2024_cr.pdf,AI캡스톤디자인 I;AI캡스톤디자인 II;4학년;졸업작품;설계교과,department_web
qa_025,학과 교육과정에서 딥러닝을 구현할 때 어떤 프레임워크를 주로 다루나요?,"제공된 RAG 자료에는 TensorFlow나 PyTorch 같은 특정 딥러닝 프레임워크명이 명시되어 있지 않습니다. 확인 가능한 과목명은 딥러닝, 고급딥러닝, 딥러닝영상처리, 딥러닝자연어처리 등이며, 어떤 프레임워크를 쓰는지는 강의계획서 등 별도 자료가 필요합니다.",공통,2025_cr.pdf,TensorFlow 근거 없음;PyTorch 근거 없음;딥러닝;고급딥러닝;강의계획서 필요,department_web
qa_026,내신 성적이나 모의고사 등급이 다소 부족한데 지원 시 합격 가능성이 있을까요?,"제공 자료만으로 개인의 합격 가능성을 판단할 수는 없습니다. 2024 입학정보에는 학생부교과 성적 반영 방법, 반영 과목, 전형 일정 등이 제시되어 있으므로, 실제 지원 가능성은 해당 연도 모집요강과 본인의 성적 산출 결과를 기준으로 확인해야 합니다.",공통,week11_crawling_final.csv,합격 가능성 판단 불가;학생부교과;성적 반영 방법;모집요강 확인,department_web
qa_027,학과 내 선후배나 동기들과 전공 공부를 함께 할 수 있는 모임이나 동아리가 있나요?,"SW중심대학 사업 안내 자료에는 학생활동으로 AI 알고리즘 연구회, 데이터 분석 스터디, 공모전 준비반 운영이 제시되어 있습니다. 따라서 전공 공부와 공모전 준비를 함께할 수 있는 학습 모임 성격의 활동이 마련되어 있다고 볼 수 있습니다.",공통,ai_department_week11_crawling_with_ocr (1).csv,AI 알고리즘 연구회;데이터 분석 스터디;공모전 준비반;학생활동,department_web
qa_028,대용량 데이터를 다루기 위한 빅데이터 관련 과목도 개설되어 있나요?,"교육과정에는 대용량 데이터만을 제목으로 내세운 과목보다 데이터사이언스를위한파이썬, 데이터베이스프로그래밍, 클라우드컴퓨팅, 기계학습, 딥러닝 등 데이터 분석·관리·AI 모델링에 필요한 과목들이 배치되어 있습니다. 진로및자격증 자료에서도 BigData scientist와 Cloud 운용 전문가가 졸업 후 진로로 제시됩니다.",공통,2025_cr.pdf;week11_crawling_final.csv,데이터사이언스를위한파이썬;데이터베이스프로그래밍;클라우드컴퓨팅;BigData scientist,department_web
qa_029,인공지능 개발자나 데이터 과학자가 되기 위해 가장 핵심적인 역량은 무엇인가요?,"핵심 역량은 프로그래밍 구현 능력, 데이터와 정보를 이해·분석하는 능력, 전체 시스템을 고려해 문제를 해결하는 시스템적 사고능력, 팀 기반 프로젝트를 위한 의사소통·협업 능력으로 정리할 수 있습니다. 2025 교육과정의 전공역량도 창의융합역량, 의사소통역량, 실무개발역량으로 제시됩니다.",공통,2025_cr.pdf;week11_crawling_final.csv,프로그래밍;정보 이해와 분석;시스템적 사고;의사소통역량;실무개발역량,department_web
qa_030,대학 생활이나 어려운 전공 수업 적응을 돕는 학과 자체 프로그램이 있나요?,"전공 수업 적응을 위한 멘토링 프로그램의 세부 운영 방식은 제공 자료에 구체적으로 나오지 않습니다. 다만 2025 교육과정에는 KY Vision 진로취창업 영역과 SW기초 영역이 있고, 2026 AISW융합대학 소개자료에는 일대일 맞춤형 진로 상담, 학생 자율 협업 공간, 프로젝트 참여 수당 등이 학생 지원 요소로 제시되어 있습니다.",공통,2025_cr.pdf;ai_department_week11_crawling_with_ocr (1).csv,멘토링 세부자료 없음;KY Vision;SW기초;일대일 맞춤형 진로 상담,department_web
qa_031,인공지능 기술 중에서도 구체적으로 어떤 세부 인공지능 분야들을 경험할 수 있나요?,"교육과정에서 경험할 수 있는 세부 분야는 기계학습, 딥러닝, 컴퓨터 비전 성격의 딥러닝영상처리, 딥러닝자연어처리, 강화학습, 생성형AI, 의료영상신호데이터분석, 의료인공지능실무 등입니다. 웹 자료에서도 AI 모델러, 데이터 사이언티스트, 자율주행 소프트웨어 개발자, 금융 AI 전문가 등 진출 분야가 제시됩니다.",공통,2025_cr.pdf;ai_department_week11_crawling_with_ocr (1).csv,기계학습;딥러닝영상처리;자연어처리;강화학습;생성형AI,department_web
qa_032,기계학습(머신러닝) 교과목에서는 어떤 상세 알고리즘들을 직접 구현해보나요?,"제공된 2025 교육과정에는 기계학습 과목이 1학년 2학기에 3학점으로 개설된다는 정보는 있지만, 의사결정나무·랜덤포레스트·XGBoost 같은 상세 알고리즘 목록은 명시되어 있지 않습니다. 상세 알고리즘은 강의계획서나 수업 자료를 추가로 확인해야 합니다.",공통,2025_cr.pdf,기계학습;1학년 2학기;상세 알고리즘 자료 없음;강의계획서 필요,department_web
qa_033,성적 장학금 외에 인공지능학과 학생이 노려볼 수 있는 별도의 장학금 제도가 있나요?,"SW중심대학 사업 안내 자료에는 장학제도로 신입생 전원 SW 특별 장학금, 성적 우수 장학금, 프로젝트 참여 수당이 제시되어 있습니다. 구체적인 지급 조건과 금액은 해당 연도 장학 안내 자료를 별도로 확인해야 합니다.",공통,ai_department_week11_crawling_with_ocr (1).csv,SW 특별 장학금;성적 우수 장학금;프로젝트 참여 수당;조건 별도 확인,department_web
qa_034,학부 재학 기간 중 실제 기업 현장을 경험할 수 있는 인턴십 기회가 주어지나요?,"교육과정에는 의료인공지능현장실습과 해외의료인공지능현장실습 과목이 있으며, 2025 기준으로 하계·동계 4학점·8학점 과정과 학기 중 12학점·15학점 과정이 제시됩니다. 2026 AISW융합대학 소개자료에는 국내외 IT 기업 인턴십과 글로벌 챌린저 프로그램도 취업지원 요소로 언급됩니다.",공통,2025_cr.pdf;ai_department_week11_crawling_with_ocr (1).csv,의료인공지능현장실습;해외의료인공지능현장실습;국내외 IT 기업 인턴십;글로벌 챌린저,department_web
qa_035,인공지능 기술의 윤리적 편향성이나 법적 분쟁에 대해서도 정규 교육과정에서 가르치나요?,"제공 자료에는 2026 AISW융합대학 소개자료의 심화과정에 인공지능 윤리가 언급되어 있습니다. 다만 2025 전공 교과목 일람표에는 '인공지능 윤리'가 별도 전공 교과목명으로 확인되지는 않으며, 법적 분쟁을 정규 과목에서 다룬다는 세부 내용도 확인되지 않습니다.",공통,ai_department_week11_crawling_with_ocr (1).csv;2025_cr.pdf,인공지능 윤리 언급;별도 교과목명 없음;법적 분쟁 세부자료 없음,department_web
qa_036,학과 입학 시 반드시 고가의 고사양 개인 노트북을 새로 구매해야 할까요?,제공 자료에는 고가의 개인 노트북 구매가 필수라는 조건은 없습니다. 오히려 SW중심대학 사업 안내에는 전용 GPU 서버실 운영과 1인 1실습 PC 환경 보장이 제시되어 있습니다. 개인 장비 권장 사양은 별도 안내자료가 필요합니다.,공통,ai_department_week11_crawling_with_ocr (1).csv,고가 노트북 필수 아님;전용 GPU 서버실;1인 1실습 PC;권장 사양 별도 확인,department_web
qa_037,코딩 실습 도중 오류가 발생했을 때 해결을 도와주는 지원 체계가 있나요?,"제공된 최종 RAG 자료에는 실습 조교, 디버깅 지원, 멘토링 스터디의 세부 운영 방식이 명시되어 있지 않습니다. 확인 가능한 학생활동으로는 AI 알고리즘 연구회, 데이터 분석 스터디, 공모전 준비반이 있으며, 코딩 오류 지원 체계의 구체 내용은 학과 안내나 강의계획서를 추가 확인해야 합니다.",공통,ai_department_week11_crawling_with_ocr (1).csv,실습 조교 자료 없음;디버깅 지원 자료 없음;AI 알고리즘 연구회;데이터 분석 스터디,department_web
qa_038,"인공지능학과 전공 수업은 주로 이론 중심인가요, 아니면 실습 중심인가요?","전공 수업은 이론과 실습이 섞여 있지만, 실무 중심 요소가 강합니다. 2025 전공표에는 AI프로그래밍실습, 데이터베이스프로그래밍, JAVA프로그래밍, AI프로젝트, 앱프로그래밍, AI캡스톤디자인처럼 실습·프로젝트·설계 과목이 다수 포함되어 있고, 학과소개도 AI프로젝트와 캡스톤디자인, 산학공동연구를 통한 현장 중심 실무역량을 강조합니다.",공통,2025_cr.pdf;week11_crawling_final.csv,이론과 실습 병행;AI프로젝트;AI캡스톤디자인;현장 중심 실무역량,department_web
qa_039,"2021년 기준, 단일전공으로 졸업하려는데 필수 전공 학점만 채우면 졸업작품은 자동으로 통과되나요?","아닙니다. 모든 학점을 취득하거나 취득 가능하더라도, 학칙 및 시행세칙에 따라 별도로 졸업작품 및 보고서를 제출하고 발표 심사까지 최종 통과해야 학위가 수여됩니다.",2021,2021_cr.pdf,"졸업작품, 보고서 제출, 발표 심사",curriculum
qa_040,"2021년 기준, 캡스톤디자인이나 프로젝트 수업 같은 '설계 교과'는 단일전공자라면 무조건 들어야 하나요? 필수 이수 학점이 따로 있나요?","네, 단일전공자는 전공 최소 이수 학점인 90학점 중에 반드시 20학점을 '설계 교과'로 채워서 이수해야 합니다.",2021,2021_cr.pdf,"설계교과 필수학점, 단일전공 기준",curriculum
qa_041,"2021년 기준, 부전공이나 복수전공(융합/연계전공)을 하는 학생도 설계교과 20학점 필수 이수 규칙이 동일하게 적용되나요?","아닙니다. 편입생을 비롯해 복수전공, 연계전공, 융합전공, 부전공 이수자는 설계교과 필수 이수(20학점) 규칙에서 예외로 인정됩니다.",2021,2021_cr.pdf,"부전공 예외, 설계교과 면제",curriculum
qa_042,"2021년 기준, 졸업논문이나 졸업작품 심사를 받지 않고 면제받을 수 있는 기준이 학과 내규에 따로 있나요?","네, 학과 심의를 통과한다는 전제하에 전국규모 공모전에서 입상하거나, 전국규모 학회에 논문을 발표 또는 게재한 경우에는 졸업작품 심사를 통과한 것으로 인정받을 수 있습니다.",2021,2021_cr.pdf,"졸업논문 면제, 공모전 입상, 학회 논문 발표",curriculum
qa_043,"2021년 기준, 복수전공(융합전공/연계전공)으로 이 학과를 이수할 때와 부전공으로 이수할 때 필요한 전공 학점의 차이가 어떻게 되나요?","연계전공이나 융합전공으로 이수할 때는 전공 학점을 최소 45학점 이상 취득해야 하며, 부전공으로 이수할 때는 최소 70학점 이상을 이수해야 합니다.",2021,2021_cr.pdf,"융합전공 최소학점, 부전공 이수학점",curriculum
qa_044,"2021년 기준, 졸업을 하기 위해 4년 동안 채워야 하는 총 최소 이수 학점은 얼마인가요?","단일전공, 복수전공, 부전공 등 이수 유형과 관계없이 모든 학생은 졸업 최소 이수 학점인 총 130학점 이상을 취득해야 졸업이 가능합니다.",2021,2021_cr.pdf,"졸업최소 이수학점, 총 취득학점",curriculum
qa_045,"2021년 기준, 프로그래밍 수업이 학년별로 많던데, 기초를 안 배우고 바로 '메디컬 앱 프로그래밍 실무' 같은 과목을 수강할 수 있나요?","불가능합니다. 선·후수 규칙에 따라 [기초프로그래밍] 그룹(AI 프로그래밍기초, AI 프로그래밍실습, 데이터사이언스를 위한 파이썬) 중 최소 2과목 이상을 이수해야만 [응용프로그래밍] 그룹에 속한 실무 및 기초 과목을 수강할 수 있습니다.",2021,2021_cr.pdf,"선후수 규칙, 기초프로그래밍, 응용프로그래밍",curriculum
qa_046,"2021년 기준, 전공 과목 중에서 이론 강의 없이 오직 실습 시수로만 100% 채워져서 운영되는 기초 코딩 과목이 있나요?","1학년 1학기에 개설되는 AI 프로그래밍실습 과목의 경우, 이론 시수 없이 주당 실습 4시간으로만 편성되어 완전히 실전 실습 중심으로 운영됩니다.",2021,2021_cr.pdf,"AI 프로그래밍실습, 실습 시수",curriculum
qa_047,"2021년 기준, 고학년 과정인 'AI 캡스톤디자인'이나 'AI 프로젝트' 같은 과목들을 듣고 싶은데, 아무 때나 신청해서 들을 수 있나요?","아닙니다. 엄격한 설계 교과 규칙이 적용되어, [기초설계] 과목 중 1과목 이상을 먼저 이수해야 [전공설계]를 들을 수 있고, [기초설계+전공설계] 과목을 통틀어 총 4과목 이상 이수한 상태여야만 최종 단계인 종합설계와 [융합설계](AI 프로젝트) 과목들을 수강할 수 있습니다.",2021,2021_cr.pdf,"AI캡스톤디자인, AI 프로젝트 수강조건, 설계 이수체계",curriculum
qa_048,"2021년 기준, 3학년 학기 중에 인공지능 핵심 분야인 이미지, 소리, 텍스트 데이터를 모두 다루게 되나요?","네, 3학년 1학기에 딥러닝 영상처리와 딥러닝 음성인식을 배우고, 이어서 3학년 2학기에 딥러닝자연어처리를 배우므로 이미지, 오디오, 텍스트 전 분야의 딥러닝 기술을 순차적으로 학습하게 됩니다.",2021,2021_cr.pdf,"딥러닝 영상처리, 음성인식, 자연어처리",curriculum
qa_049,"2021년 기준, 4학년 교육과정에서 컴퓨터가 스스로 최적의 행동 양식을 학습하게 만드는 핵심 AI 알고리즘을 다루는 전공 과목의 명칭은 무엇인가요?",4학년 1학기에 개설되어 있는 3학점짜리 전공 선택 과목인 강화학습 교과목을 통해 해당 알고리즘을 집중적으로 학습하게 됩니다.,2021,2021_cr.pdf,"강화학습, 4학년 전공",curriculum
qa_050,"2021년 기준, 인공지능 기술 외에 실제 의료 현장의 시스템 데이터 구조를 깊이 있게 다루는 메디컬 분석 과목들은 구체적으로 어떤 것들이 개설되나요?","2학년 2학기의 EMR데이터분석, 3학년 2학기의 Clinical Data Warehouse분석, 그리고 4학년 1학기의 의료영상데이터분석 등이 유기적으로 연결되어 개설됩니다.",2021,2021_cr.pdf,"EMR데이터분석, Clinical Data Warehouse분석, 의료영상데이터분석",curriculum
